bug report ID,sentence,intention
2," I currently have only one problem , how to disable the restore after restart.",3
2," can you add a pref for this, or some other way to do it?",3
2, (In reply to comment #12),4
2," &gt; I currently have only one problem , how to disable the restore after restart.",4
2, You've got several options for that:,6
2, * Set the prefs browser.sessionstore.resume_from_crash and browser.sessionstore.resume_session_once both to false as early as possible and make sure that browser.startup.page isn't 3.,1
2, * Delete the file sessionstore.js as early as possible (e.g. when the profile-after-change notification is dispatched).,1
2, * For Firefox 3.1: Respond to the sessionstore-state-read notification by setting the subject's data member to an empty string (cf. bug 448741 comment#6).,1
2, Or is there a use case I'm missing?,3
3," I've noticed that I frequently trigger the rotate gesture accidentally, usually while scrolling.",0
3," Gestures have improved since the original landing (when triggering the wrong gesture was really easy), but this articular gesture is still problematic.",0
3, The basic reasoning is that it's highly disruptive to be switched to another tab when you're not expecting it.,0
3," When it happens, you don't know what just happened until you notice that you're on some entirely different page, that's randomly to the left or right (1 or more tabs) from the page you thought you were on.",0
3," I'm don't think the rotate gesture for switching tabs is nearly as useful, discoverable, or a good fit as the other gestures are.",2
3," So, given this problem, we should just disable it for 3.5. ",5
3," [I'd also be open to tweaking it to make it much harder to trigger accidentally, dunno if that's possible.]",5
3, See also bug 461376. ,6
3, Just play around with browser.gesture.twist.* in about:config as a temporary workaround.,5
3," Justin, the odd thing here is that I find I trigger zoom more frequently than tab rotate ... far far more frequently.",0
3," And I also find that it's not just in Firefox, it's all over OSX.",0
3, I wonder how much of this is us vs. odd timings causing misreads of the trackpad by OSX.,2
3, I think I've never accidentally switched tab because of rotate gesture.,2
3, Actually I'd probably decrease the default threshold for tab switching.,5
3, I've triggered zoom repeatedly too; ,2
3, usually I fix it right away but a quick browse though content-prefs.sqlite shows ~20 sites with zoom settings that I didn't know were set.,5
3," That's probably because zoom is a subtle effect (for 1 step, relative to the distraction that an accidental tab switch causes).",5
3," While playing with different browser.gesture.twist settings, I've found twisting through tabs often resulted in triggering a zoom. ",0
3," Probably because a twist is a very awkward gesture to make, especially if it's more than a quarter-turn... ",5
3," Around that point, my fingers want to spread or join, and that ends up read as a pinch. ",0
3," I guess that's part of why I'm not really fond of this gesture, and would just as soon turn it off.",5
3," I'll try running with a threshold of 40, but I suspect there's an unavoidable conflict between making it easy to use on purpose, yet hard to invoke accidentally.",5
3," I've been using swipe left/right to change tabs and cmd-left/right to go back/forward, but I do have rotate as change tabs as well and I haven't accidentally triggered it.",2
3, Maybe it's your rotating technique ;) ,2
3, I'm right handed and I position my index finger at 7oclock and ring finger at 1oclock. ,5
3, To rotate right I end up at 8/2oclocks.,5
3, The first time I came into contact with tab switching via gesture was accidentally. ,2
3," I wasn't sure what happened, I just appeared on another tab and couldn't figure out why. ",2
3, The tab-switching gesture right now isn't obvious and feels unexpected when I hit it.,2
3," Mardak: the way you've written this code, disabling the gesture is a pref-flip, right?",3
3," Blocking here for decision and mulling, will probably take it though.",2
3," Yup, should be able to just unset the default value for the twist prefs:",5
3," -pref(\""browser.gesture.twist.right\"", \""Browser:NextTab\"");",4
3," -pref(\""browser.gesture.twist.left\"", \""Browser:PrevTab\"");",4
3," Would setting the value to empty-string (\""\"") work, or something similar? ",3
3, It would be nice to leave the prefs visible for those who want to use them.,5
3, Since this is now implemented on Win7 with Multitouch screens please be sure not to disable it for Windows.,5
3, (In reply to comment #10),4
3, &gt; Since this is now implemented on Win7 with Multitouch screens please be sure not to disable it for Windows.,4
3, Fine by me; though I'd be a bit wary of having Windows users hit the same problem with multitouch trackpads...,2
3," But Rob says such hardware/drivers doesn't exist today, so it shouldn't be a common problem.",2
3," We should keep on eye out for problems with issues on touchscreens, andt from Rob demoing it on his touchscreen it would appear harder to trigger. ",5
3, And maybe Windows 7 is just better at discriminating between gestures.,5
3, OTOH it wouldn't be a big deal to just disable it globally. ,5
3," Safari doesn't use it, and Rob confirmed that IE doesn't use it on Windows 7.",2
3," This bug is just rotate, but do we want to consider pinching too?",3
3," If we take those out, we'll have swipe up/down as jump to top/bottom and swipe left/right as back/forward by default.",5
3, (In reply to comment #12),4
3," &gt; This bug is just rotate, but do we want to consider pinching too?",4
3, Maybe; it certainly has been noted that people are accidentally hitting that gesture too. ,2
3," Though I think it's a separate decision: rotate is an unnatural gesture for switching tabs (nothing else uses it this way), with a high penalty for accidentally triggering. ",2
3," Pinching is a natural gesture for page zoom (and more widely used/known), with a low penalty for accidentally triggering. ",0
3," I think most people would consider it a bug if we claimed to support multitouch, but pinch didn't do anything.",2
3," So, I'd strongly lean towards only removing the rotate. Pinchy would've wanted it this way.",5
3, (In reply to comment #12),4
3," &gt; This bug is just rotate, but do we want to consider pinching too?",4
3, &gt; ,4
3," &gt; If we take those out, we'll have swipe up/down as jump to top/bottom and swipe left/right as back/forward by default.",4
3, pinch should definitely be left on for win7.,5
3, Tracking is turned off so you get a nice zoom in/zoom out effect. ,5
3, It's also nearly impossible to trigger without a definitive pinch with two fingers on the screen.,2
3," If you want to consider disabling pinch, please file a separate bug, do not conflate. ",5
3," FWIW, I'm not nearly as keen on disabling that one, and am fairly-to-surely likely to WONTFIX such a bug.",2
3, But go ahead ... try me ;) ,6
3, Created an attachment (id=376850) [details],4
3, v1,4
3, Don't do anything on os x when twisting.,5
3," Alternatively, have people tried upping the threshold for twist? ",5
3, It would make it less likely to accidentally trigger.,5
3, But I just noticed something interesting in os x's gesture detection.,2
3," - If I use 2 hands (1 finger each) and place one at the top and one at the bottom, moving the top finger registers as a normal mouse move while moving the bottom finger is registered as a twist.",0
3, I suppose the heuristic there is to assume the top finger is used for scrolling.,0
3," - Also, if your fingers are too close to the edge, it won't treat it as a rotate. But you can still move the pointer from the edge.",0
3, Can we get the patch reviewed - I think we want to remove the rotate gesture on both Windows and OSX.,5
3, Created an attachment (id=378424) [details],4
3, v2,4
3, both Windows and OSX.,4
3, (From update of attachment 378424 [details]),4
3, uir+r=beltzner,4
3, http://hg.mozilla.org/mozilla-central/rev/d19424342b43,4
3," Give empty commands for twist gestures, so they do nothing, but still show up as prefs in about:config.",5
3, http://hg.mozilla.org/releases/mozilla-1.9.1/rev/3329a3997d7b,4
3, Verified fixed on trunk and 1.9.1 with builds on OS X and Windows like:,4
3, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.2a1pre) Gecko/20090525 Minefield/3.6a1pre ID:20090525031110,4
3, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.1pre) Gecko/20090526 Shiretoko/3.5pre ID:20090526031155,4
3," Off the back of this, would there be any chance of getting...",5
3, browser.gesture.swipe.left.shift added and set to Browser:PrevTab,4
3, and,6
3, browser.gesture.swipe.right.shift added and set to Browser:NextTab,4
3," Having made this change, I must admit to now finding Firefox almost 'alien' to use on other multi-touch machines!",2
3, https://bugzilla.mozilla.org/show_bug.cgi?id=502500,4
4, Problem:,6
4," The method FolderDescription#createExistentResourceFromHandle(IResource,IProgressMonitor) checks if the folder already exists and returns immediately if so.",0
4," In cases where the FolderDescription has members which are not existing at that moment, that members will not be created.",0
4, Use case:,6
4, Assume you want to create a folder and a file in that folder and use two operations for this. ,5
4, I know it is not necessary to use two operations but my configuration is more complex than this example code.,2
4, IFolder folder = ... // must not exist,4
4," CreateFolderOperation op1 = new CreateFolderOperation(folder,...);",4
4, IFile file = folder.getFile(...); // must not exist,4
4," CreateFileOperation op1 = new CreateFileOperation(file,...);",4
4, op1.execute(...);,4
4, op2.execute(...);,4
4, The execution of the op2 does not create the file because as stated above createExistentResourceFromHandle returns immediately because the parent folder of the file was created by op1.,0
4, IMHO createExistentResourceFromHandle must check if members of a FolderDescription should be created.,5
4, I checked the code in the ganymede release and the problem should exist there too.,3
4, Is there any reason you cannot execute op1 before creating op2?,3
4," The basic problem is that the workspace file structure has changed since you first created the operation, so the change described by the operation is no longer valid.",0
4, &gt;Is there any reason you cannot execute op1 before creating op2?,4
4, No there is not.,6
4, In the meantime I found a workaround in my code but I think it's very inconvenient that someone must know that op2 have to be created after the execution of op1. ,1
4, The API gave me no hint that I have to do so!,6
4, Maybe the build of the FolderDescription could be delayed until the execution of op2.,5
4, Think about cases where the to ops have nothing in common e.g. created and executed in different plug-ins.,5
4, I'll mark this one for M4.,6
4," I think what needs to happen is that the javadoc better describes the lifecycle of these operations, and the isValid() method is tightened up so that the operation becomes invalid when the workspace changes to no longer match its recorded state.  ",5
4," It is not the intention of these classes to stay in synch with workspace changes that happen independently of a shared, sequential workspace history.",1
4, Moving target as M6 has shipped.,4
4, Fixed in HEAD &gt;20090416.,4
4," In order to understand better what the ramifications might be of actually fixing this bug vs. better documenting the limitations and usage, I started by implementing a trial fix for the problem as reported.",1
4, It is pretty straightforward to rearrange the code to create the child resources (the file) even if the parent exists since the operation was created.,1
4," However, the problems occur later when you try to undo such an operation. ",0
4," Since the operation \""remembered\"" that the folder didn't exist when it was first created, the undo of the create file operation tries to also delete the folder.  ",1
4," This means that to truly fix the bug, we'd have to change the operations so that the resource descriptions were constantly updated to deal with changes that occurred.",1
4, So I still believe it's better to document more clearly what the intentions of the API are.  ,1
4," I've updated the javadoc for AbstractResourcesOperation, CreateFileOperation, and CreateFolderOperation.  ",1
4," In addition, I created a stricter validity check on CreateFileOperation so that the operation will return an invalid status if portions of the resource tree already exist.  ",1
4, Created WorkspaceOperationsTest.test250125() to simulate this condition.  ,1
4," The CreateFileOperation is valid until the CreateFolderOperation is run, at which time the file operation knows it is invalid.",1
4," &gt; In addition, I created a stricter validity check on CreateFileOperation so that the operation will return an invalid status if portions of the resource tree already exist. ",4
4, What I meant to say is...,6
4, I created a stricter validity check on CreateFileOperation so that the operation will return an invalid status if portions of the resource tree *that did not exist when the operation was created* already exist at the time of execution.  ,1
4," It is expected/allowed that the containment tree already exists when the op is executed, as long they also existed when the op was created.",1
4, verified via automated test cases that run on each build.,1
4, Also verified through source inspection,1
5," Inspired by Martin Oberhuber's mail about his \""lsc\"" script for counting lines in a patch[1], I though that it maybe be worthwhile to embed such thing in the Apply Patch wizard itself. ",5
5," imo using regexp should be enough here, especially due to the fact that we don't want to make any additional dependencies. ",5
5," So, my proposal is to allow to specify a regexp rule for lines that should be count as a \""real contribution\"".",5
5, This is what first came to my head:,6
5, /-\\\\+? (\\s*\\S+\\s*)+$,4
5," which means \""Count only lines starting with single '+' and a space. ",5
5," The line must also have at least one non-whitespace character\"". ",5
5, I think this is more/less what Martin's script does.,2
5, All lines that match the above pattern would be sum up and the info would be displayed somewhere on the Apply Patch wizard. ,1
5, How does it sound? Martin?,3
5," Again, I think it's a brilliant idea Martin.",6
5, [1] sent to eclipse.org-committers,4
5, The info could be also shown in a patch outline view (see bug 190418).,4
5, Excellent idea! ,6
5, Having the line counter right in the apply patch wizard would finally give us a standard way of counting lines that everybody could use easily.,5
5," My script also ignores \""empty comment\"" lines of the form",5
5,    /-\\\\+\\s+[#*]+\\s+$,4
5, but that's really neglectible and I'm fine with your approach of counting any non-empty added line in the patch.,5
5," Actually, couldn't your regex even be simpler, say",5
5,    /-\\\\+\\s+\\S,4
5, since you don't need to check till the end of the line?,3
5," And actually, if the wizard counts added lines, why shouldn't it also count removed lines? ",5
5, Giving two separate numbers e.g.,5
5,    10 lines added  20 lines removed,4
5, This sounds familiar to me since I've seen similar numbers in RCS files before.,5
5," I'd guess that the regex for removed lines could just be the same as for added lines but the + replaced by a -; and, files removed entirely should contribute the entire number of lines they had before (I believe that the old contents is",5
5," not recorded in the diff, is it?)",3
5, Created an attachment (id=94358) [details],4
5, Patch,4
5, Fix that matches all lines from a patch against given regexps (one for added lines and one for removed). ,1
5, Patterns can be changed on General &gt; Compare/Patch pref page. ,1
5," I decided to leave them blank by default, so I don't need to worry about different diff output formats which are out there. ",1
5," However, you can easily set it to a value most convenient to you (i.e. '/-\\\\+\\s+\\S').",1
5, Created an attachment (id=94360) [details],4
5, mylyn/context/zip,4
5, (In reply to comment #4),4
5," &gt; I decided to leave them blank by default, so I don't need to worry",4
5," So this means it won't work out of the box? But then, the compare/patch feature already needs to analyze patches or it cannot apply them, right? ",2
5, So I don't quite understand why the same patterns that compare/patch already uses aren't the default for the line counting feature.,2
5, (In reply to comment #6),4
5, &gt; So this means it won't work out of the box? ,4
5," &gt; But then, the compare/patch feature already needs to analyze patches or it cannot apply them, right? ",4
5, &gt; So I don't &gt; quite understand why the same patterns that compare/patch already uses aren't the default for the line counting feature.,4
5," I guess you're right Martin, but this will make the patch a little bit more complicated as the current patching mechanism is not very helpful in counting added/removed lines. ",2
5, I'll just need some extra time to do this.,2
5, Created an attachment (id=96838) [details],4
5, Patch 2,4
5, Created an attachment (id=96839) [details],4
5, mylyn/context/zip,4
5," The latest patch ensures, that when no regular expressions is provided, the patcher will use internal patterns to distinguish which lines have been added or deleted. ",1
5," However, this will work only for patches in unified and context diff output format. ",1
5," As reported in bug 227742, it appears that standard patch format is no longer supported (or it has never been).",0
5," Moreover, I logged bug 228000 to make sure we add some automated tests to cover this newly added feature.",4
5, Created an attachment (id=96993) [details],4
5, Patch 3,4
5, Previous patch with some minor adjustments.,4
5, The latest patch applied to CVS HEAD. ,4
5," Martin, would you like to try it out and let me know what do you think? ",6
5, Feel free to open a new bug if there is something I missed.,6
5," I tested this with I20080422-0800, on the attached patch from bug 227572 attachment 97084 [details]. ",4
5," Your dialog counts 207 added and 29 removed lines, but my script only counts 151 added lines.",2
5," It looks like you are also counting empty lines, which doesn't seem overly useful to me.",5
5, Created an attachment (id=97398) [details],4
5, The preference page,4
5," The \""internal\"" mechanism of counting added/removed lines is very simple, it sums up all lines with '+' and '-'. ",1
5, If you want to use your own patterns/script please take a look at the General &gt; Compare/Patch pref page. ,5
5, I've added there two fields where you can customize the way this simple mechanism works.,1
5," It's awsome that this is customizeable, but when I remember right, one reason for putting this enhancement into Eclipse SDK was such that there is a \""common standard\"" by which the projects count their lines in a patch.",2
5," I think that this \""common standard\"" should be as good as possible by default.",5
5," On the other hand, having some magic like removing empty lines from the count going on in the background is perhaps a problem... ",5
5," would it be possible to keep your current count (\""211 added / 53 removed lines\"") but add an additional count without empty lines e.g.",5
5," Note that I'm only talking about empty lines here, e.g. Regex \""/-\\\\\\s*$\"". ",5
5," I agree that we cannot count empty comments here by default, because comment styles differ by language. ",2
5," Actually, it might be a good idea to have one additional kind of Regex pattern in the Preferences, which acts as a filter -- suggested tooltip behind //:",5
5,   Added Lines:    /-\\+,4
5,   Removed Lines:  /-\\-,4
5,"   Filter:         /-\\[+-]\\s*$     //Filter for lines to not count, e.g. empty lines",4
5," providing an output such as   \""Patch contains 207 added and 29 removed lines (151 / 27 filtered)\""",5
5," Martin, I see your point when you're saying that the \""common standard\"" should be as good as possible, however I would rather not to filter any lines from a patch when parsing. Here are the approaches so far:",2
5," 1) Use only given filters, by default no counting will be made. ",5
5, This is how the patch from comment 4 worked. ,6
5, Rejected.,6
5," 2) By default count lines using the simple patterns, which are currently used when parsing a patch (ie \""+\"" and \""-\""), this can be modified in the pref page.",2
5, Patch in comment 13. ,4
5, In HEAD.,6
5, 3) By default count lines using more sophisticated patterns like excluding empty lines. ,2
5," And again, this can be modified in the pref page. ",2
5, If I understood you correctly this is what you meant in comment 15. ,2
5, My main concern here is:,2
5," what if I would like to know total number of lines added in the patch (the filter idea looks to be an answer here but it's a pref value, it's not embedded in the parser itself, right?)",3
5, 4) By default count lines using both simple and sophisticated patterns at the same time. ,2
5," The output would be something like this \""Patch contains X added and Y removed lines + Z added lines which are empty\"". Again, the user could provide his own patterns... ",1
5, which makes the whole mechanism overblown and not as intuitive as I would like it to be.,2
5," Regarding the filter idea: it sounds good to me, but I think we should move the discussion about it to a separate bug.",2
5, Would you mind opening one?,3
5," btw, thanks for your feedback Martin.",6
5, Verified in I20080429-0100. ,4
5, Martin are you willing to open new bugs to address your concerns?,3
5," FYI,",6
5," following regex suppresses lines in the patch from counting, which are empty or only contain non-wordchars (i.e. lines which only contain an } or only contain a * as continuation of an empty Javadoc comment:",1
5," Added:     /-\\\\+[/-\\+]+[a-zA-Z0-9_!?\""|@~`$%&()+;,.:&lt;&gt;=+-]",4
5," Removed:   /-\\-[/-\\-]+[a-zA-Z0-9_!?\""|@~`$%&()+;,.:&lt;&gt;=+-]",4
6," According to the javaDoc in Platform.getResourceString(Bundle,String), this method has been deprecated and one should use the NLS class or the BundleFinder.find(). ",0
6, I was able to find the NLS class but I didn't find the BundleFinder class. ,0
6, Is the javaDoc correct? ,3
6, if it is a hint on where to find the BundleFinder class would help.,0
6," The NLS class doesn't seem to provide me with the same functionality that Platform.getResourceString does, so I am assuming that BundleFinder would do the job that I need.",0
6, Please provide me with more information on where to find the BundleFinder and improve the javaDoc.,0
6, I don't think that replacement functionality was ever implemented.,2
6," Pascal, you added bunch of comments like that to the Platform ver. 1.92. ",4
6, As there are no current plans to act on them (and there has been no actions done in the last 2 years) I think we need to remove those comments - they make a rather confusing Javadoc.,2
6," There are 21 \""XXX\"" comments that should be removed from Javadoc or acted upon.",5
6, Adding M7 as a milestone to remind to remove those comments.,5
6, (In reply to comment #1),4
6, &gt; I don't think that replacement functionality was ever implemented. ,4
6," &gt; Pascal, you added bunch of comments like that to the Platform ver. 1.92. ",4
6, &gt; As there are no current plans to act on them (and there has been no actions done &gt; in the last 2 years) I think we need to remove those comments - they make a rather confusing Javadoc.,4
6," &gt; There are 21 \""XXX\"" comments that should be removed from Javadoc or acted upon.",4
6,  ,4
6," So are you saying that the support for using getResourceString has just been droppped, and that no replacement will be available? ",3
6," that concerns me because WTP has a code that uses this method, and I am sure that there is plenty of adopters that are currently using that function as well.",2
6," The method Platform.getResourceString(Bundle,String) is not deprecated at this time; ",0
6," the comments should have been added to the implementation code or to a bug report, not to the Javadoc of the Platform class. ",0
6," Please adjust the target milestone, so it does not point at a closed milestone in the past.",5
6, From bug 247983 other tagged methods:,4
6, -getResourceBundle(Bundle),4
6," -getResourceString(Bundle, String)",4
6," -getResourceString(Bundle, String, ResourceBundle)",4
6, *** Bug 247983 has been marked as a duplicate of this bug. ***,4
6, Removed incorrect comments from the Platform class.,1
6," We collided, I just made the same changes. ",5
6, The only difference is that I moved the comments to InternalPlatform. ,1
6, Also I deprecated Platform#endSplash since this has been replaced with IApplicationContext#applicationRunning().,1
7," the about:mozilla page in RC2 is right-aligned, but has LTR directionality instead of RTL. ",0
7," as a result, the dot at the end of the sentence is on the right side instead of the left, and both the parentheses around the \""10th edition\"" line are on the right side.",0
7, i also think the quote source should be on the left side. ,2
7," perhaps the page should take CSS from intl.css, where localisers can override some of the classes or add a class to set direction.",5
7, Actually I would like not to add yet another entry in intl.css but to fix it in aboutMozilla.xhtml. ,3
7," Pike, can we think about it? ",2
7, Same behavior also affect other internal about pages.,0
7, * about:plugins,4
7, pages that get RTL:,4
7, * about:crashes,4
7, * about:robots - Has some open issues. See bug 427029,4
7," Pages that not translated, such as about:cache, about:credits and about:buildconfig should stay LTR.",4
7," the about:mozilla page used to be a file in the language pack, allowing the localizer to control it's look. ",0
7, moving this out of the language pack created this problem.,0
7, the file dom/chrome/global.dtd control has direction control with the entity locale.dir. ,5
7," We can, actually, support RTL using something like &lt;body dir=&locale.dir;&gt;.",5
7, Created an attachment (id=324147) [details],4
7, patch,4
7, Here is my patch. ,6
7, Tested on Hebrew locale.,6
7," Please let me know if you prefer 'body{direction:&locale.dir;}' instead of the current '&lt;body dir=\""&locale.dir;\""&gt;'.",5
7, the W3C prefers markup and not CSS:,1
7, http://www.w3.org/International/questions/qa-bidi-css-markup,4
7," \""Because directionality is an integral part of the document structure, markup should be used to set the directionality for a document or chunk of information, or to identify places in the text where the Unicode bidirectional algorithm alone is insufficient to achieve desired directionality.\""",5
7, (In reply to comment #6),4
7, &gt; the W3C prefers markup and not CSS:,4
7, Actually I'm not sure how we can do it using CSS.,2
7, I have no idea if something like 'body{direction:&locale.dir;;}' is a valid. ,2
7," To me, the trunk solution for this is to have a separate entity for each of those pages, to work around bugs like bug 427029.",5
7," Once you localize a page we ship, you would then set the dir from ltr to rtl.",5
7," That's not a solution for the 1.9 branch, though, there we should just re-use locale.dir from global.dtd.",5
7," IMHO. Gavin, what do you think?",3
7, (In reply to comment #8),4
7," &gt; To me, the trunk solution for this is to have a separate entity for each of those pages, to work around bugs like bug 427029.",4
7,  ,4
7," &gt; Once you localize a page we ship, you would then set the dir from ltr to rtl.",4
7," &gt; That's not a solution for the 1.9 branch, though, there we should just re-use locale.dir from global.dtd.",4
7," Sounds fine to me, I guess... ",6
7," do we really need to worry about the \""RTL locale that's falling back to en-US\"" though? ",3
7, Ideally we could just take this patch and not worry about having localizers update various different attributes based on,5
7," localization state, and just rely on them completing all the localization work to make it look decent.",5
7," In other words, isn't bug 427029 an edge case given the nature of about:robots and it's \""optional\"" status for localizers? ",3
7, Seems like we could just live with it not looking perfect for RTL locales that haven't localized it rather than adding complexity.,5
7," Well, that depends on how disciplined folks are. ",2
7," We could make that call per page, like in the case of the robots page, it might make sense to have an open window for not translating it, for neterror pages probably less. ",5
7, There we could even get extreme and do it per div ;-).,5
7, I'm adding another screenshot to bug 427029. ,4
7," Axel, Gavin - You are welcome to comment on that issue right there. ",6
7, We are not far from 1.9.0.1 deadline. ,6
7, Please approve1.9.0.1. ,6
7, Thank you.,6
7, Please get this landed on mozilla-central before getting approval for 1.9.0.x.,5
7, (From update of attachment 324147 [details]),4
7, Please re-request approval after getting this landed on mozilla-central.,5
7," I'm not really sold on taking this given that it's more \""cosmetic\"" than anything else...",2
7, http://hg.mozilla.org/index.cgi/mozilla-central/rev/d12488eef3f5,4
8, Here is the JavaDoc for IAdapterManager.computeClassOrder(Class):,4
8, Returns the class search order for a given class. ,0
8," The search order from a class with the definition class X extends Y implements A, B is as follows:",0
8, - the target's class: X ,4
8, - X's superclasses in order to Object ,4
